content_label,playlist_count,median_non_owner_monthly_stream30s,success_rate,median_owner_stream_share,pct_of_spotify_owned_playlists,success_rate_lift
Classical,6,605705.5,0.3333333333333333,0.0,0.015037593984962405,3.325
Alternative,32,430379.0,0.1875,7.44156425952381e-07,0.08020050125313283,1.8703125
Pop,68,315661.5,0.22058823529411764,0.0,0.17042606516290726,2.2003676470588234
Dance & House,25,230912.0,0.04,0.0,0.06265664160401002,0.399
Latin,19,214901.0,0.10526315789473684,1.297545303794282e-06,0.047619047619047616,1.05
Indie Rock,87,212915.0,0.10344827586206896,9.241187603501301e-07,0.21804511278195488,1.031896551724138
Blues,11,209600.0,0.0,0.0,0.02756892230576441,0.0
Rap,18,196848.5,0.1111111111111111,3.51068245803302e-07,0.045112781954887216,1.1083333333333334
Metal,7,188002.0,0.0,0.0,0.017543859649122806,0.0
Electronica,29,103467.0,0.0,0.0,0.07268170426065163,0.0
Soundtrack,5,62057.0,0.0,0.0,0.012531328320802004,0.0
Country & Folk,9,61880.0,0.0,0.0,0.022556390977443608,0.0
Religious,45,54909.0,0.06666666666666667,1.4081974270261532e-06,0.11278195488721804,0.665
Rock,20,20285.5,0.0,0.0,0.05012531328320802,0.0
Spoken & Audio,5,742.0,0.0,0.0,0.012531328320802004,0.0
