content_label,playlist_count,median_non_owner_monthly_stream30s,success_rate,median_owner_stream_share,pct_of_user_owned_playlists,success_rate_lift
R&B,15568,42.0,0.23426258992805754,0.3552606030345899,0.03732572497212799,2.3326428801333083
Spoken & Audio,1183,33.0,0.20118343195266272,0.2777777777777778,0.0028363523022885023,2.0032609572415385
Children's,1713,32.0,0.20431990659661411,0.42424242424242425,0.004107076495198821,2.0344920439002268
Traditional,1605,28.0,0.17881619937694704,0.34782608695652173,0.003848136470983133,1.7805418033550733
New Age,2262,28.0,0.16666666666666666,0.5,0.005423354951628565,1.6595642243814706
Blues,3426,25.0,0.14419147694103912,0.3333333333333333,0.008214152990397641,1.4357700995524458
Classical,4107,25.0,0.12101290479668858,0.36551724137931035,0.00984691369864656,1.2049721249343914
Reggae,3341,25.0,0.11762945225980245,0.5,0.008010357600968628,1.1712817842237377
Religious,21935,25.0,0.11429222703441988,0.5789473684210527,0.05259119843676948,1.138051746667248
Country & Folk,14551,25.0,0.11263830664559137,0.46153846153846156,0.03488737307743026,1.1215830240235987
Soundtrack,7143,24.0,0.15189696206075878,0.45454545454545453,0.01712600549048755,1.512496584169589
Alternative,33217,21.0,0.0957341120510582,0.5619834710743802,0.07964084059604157,0.9532614444771792
Indie Rock,72900,21.0,0.0794238683127572,0.5991732007721349,0.17478451634558903,0.7908540624830219
Rock,29038,20.0,0.09280942213651078,0.5,0.06962130021458456,0.924139179979626
Metal,5965,19.0,0.11399832355406538,0.6424242424242425,0.014301641152283108,1.1351252364587427
Pop,63825,19.0,0.0972659616137877,0.6071428571428571,0.15302636153302085,0.9685146608658209
Electronica,14522,19.0,0.0871092136069412,0.5384615384615384,0.03481784288574272,0.8673800070964993
Punk,9875,18.0,0.098126582278481,0.625,0.02367622906601772,0.9770841924611514
Latin,18031,18.0,0.0911208474294271,0.5142857142857142,0.043230996079935746,0.907325390935197
Dance & House,24470,18.0,0.0904781364936657,0.6,0.0586690962273877,0.900925670481547
Rap,65662,18.0,0.08068593707167007,0.62,0.15743073953750433,0.8034209674490298
