content_label,playlist_count,median_non_owner_monthly_stream30s,success_rate,median_owner_stream_share,pct_of_user_owned_playlists,success_rate_lift
Lively,10686,34.0,0.19754819389855885,0.374878640776699,0.025620676840452185,1.9670634911113332
Other,1751,31.0,0.1947458595088521,0.3333333333333333,0.004198185022237674,1.939159567723866
Tender,3403,30.0,0.17837202468410226,0.428,0.008159008355610967,1.7761189847773484
Romantic,9771,29.0,0.17592876880564937,0.43073593073593075,0.023426879413069278,1.7517905444960074
Peaceful,2413,27.0,0.1670120182345628,0.46811945117029863,0.0057853914669671646,1.6630030230229575
Upbeat,16732,26.0,0.11714080803251255,0.5517847403187686,0.04011652301089706,1.1664161653553726
Stirring,1974,25.0,0.11195542046605876,0.42052631578947364,0.004732848220386732,1.1147832631863375
Sophisticated,7899,24.0,0.1420432966198253,0.4482758620689655,0.018938585659997363,1.4143798403008052
Serious,1776,22.0,0.13626126126126126,0.421375,0.0042581248426579715,1.3568058861497159
Easygoing,2629,22.0,0.12438189425637125,0.39473684210526316,0.00630327151539854,1.2385184512120373
Empowering,34204,22.0,0.10756051923751608,0.56618136585024,0.08200726470623494,1.0710215380948598
Rowdy,5546,21.0,0.10421925712225028,0.4897959183673469,0.013297049762038913,1.0377513036702022
Excited,66265,21.0,0.09665736059760055,0.6005291005291006,0.15887648800604193,0.9624545860255025
Yearning,39819,21.0,0.08706898716693036,0.5923566878980892,0.09546974837263388,0.866979456932202
Gritty,8118,21.0,0.08672086720867209,0.501992237008872,0.019463658486879174,0.8635130923610904
Fiery,1438,20.0,0.12030598052851182,0.375,0.003447738470575542,1.1979330075855124
Cool,12227,20.0,0.10574957062239307,0.5,0.029315367371159355,1.0529892248917518
Sensual,26674,20.0,0.09083751968208742,0.5358617480328285,0.06395339079564118,0.90450418737564
Melancholy,5745,20.0,0.0898172323759791,0.5254237288135594,0.013774170732584485,0.8943447935047926
Brooding,18744,20.0,0.08135936833119932,0.5625,0.044940479758322646,0.8101265820043991
Urgent,15553,18.0,0.09387256477849933,0.5961538461538461,0.037289761079875805,0.9347253009439777
Energizing,25219,18.0,0.09298544748007455,0.5,0.06046489324717983,0.9258919321562034
Sentimental,1936,18.0,0.09297520661157024,0.4796294877687554,0.004641739693347879,0.9257899598822253
Defiant,83918,18.0,0.08177029957815964,0.6538461538461539,0.20120119400122277,0.8142183827812141
Aggressive,9848,16.0,0.08651502843216897,0.5564989785495403,0.023611494059963798,0.8614634763442404
