playlist_type,feature,feature_label,metric,metric_label,feature_bin,playlist_count,median_feature_value,median_value,mean_value
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,1-9,0,,,
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,10-24,24,22.0,38636.5,102261.16666666667
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,25-49,126,38.5,60929.5,257838.4126984127
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,50-99,151,66.0,222354.0,1060034.072847682
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,100-249,83,126.0,519138.0,1826413.5662650603
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,250-499,13,372.0,366262.0,1208203.923076923
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,500-999,1,632.0,1732754.0,1732754.0
Spotify-owned,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,1000+,1,1000.0,1616838.0,1616838.0
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,1-9,0,,,
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,10-24,24,22.0,8.405556978536861,8.648821160312734
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,25-49,126,38.5,9.851776290763524,10.279895327482922
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,50-99,151,66.0,12.828162778079218,13.535932663391351
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,100-249,83,126.0,14.434709821428571,14.978489164776116
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,250-499,13,372.0,14.980194719069708,15.500940442597567
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,500-999,1,632.0,14.543986436011718,14.543986436011718
Spotify-owned,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,1000+,1,1000.0,19.10936059567427,19.10936059567427
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,1-9,0,,,
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,10-24,23,22.0,0.09904037660691653,0.0991513438155394
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,25-49,119,39.0,0.1118421052631579,0.12821789817116785
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,50-99,147,66.0,0.13593360995850623,0.17142357224008406
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,100-249,78,126.5,0.15597265847808497,0.1700725230749801
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,250-499,13,372.0,0.16217952461601354,0.22543362813302775
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,500-999,1,632.0,0.1672732980800361,0.1672732980800361
Spotify-owned,n_tracks,# tracks,retention_rate,Continuity rate,1000+,1,1000.0,0.2079366511753824,0.2079366511753824
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,1-4,19,1.0,193639.0,927902.3684210526
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,5-9,0,,,
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,10-24,39,21.0,47130.0,106355.43589743589
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,25-49,162,38.0,98340.0,458661.5987654321
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,50-99,131,67.0,230586.0,1522831.7557251907
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,100-249,46,114.5,746952.5,1523363.5
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,250-499,2,276.5,4377.5,4377.5
Spotify-owned,n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,500+,0,,,
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,1-4,19,1.0,13.428777297417138,12.643370794914036
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,5-9,0,,,
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,10-24,39,21.0,8.732789466151424,8.753131020802966
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,25-49,162,38.0,10.869391148530394,11.480810101713008
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,50-99,131,67.0,13.330906790745546,14.07184240874728
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,100-249,46,114.5,14.679725677961848,15.737844707351881
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,250-499,2,276.5,8.152460634024989,8.152460634024989
Spotify-owned,n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,500+,0,,,
