feature_bin,playlist_count,mean_value,median_value,median_feature_value,feature,feature_label,success_metric,success_metric_label
1-9,22590,22.762107127047365,0.0,4.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
10-24,52297,135.27921295676617,14.0,17.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
25-49,71183,126.96317941081438,19.0,36.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
50-99,91373,187.10001860505838,23.0,70.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
100-249,103747,301.5612596026873,27.0,150.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
250-499,44134,406.55079983686045,31.0,332.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
500-999,20539,887.5585958420565,32.0,654.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
1000+,11222,344.43931563001246,32.0,1544.0,n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams
1-9,22590,485.22169416707254,647.0,4.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
10-24,52297,26.672628913118974,11.5,17.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
25-49,71183,32.71134994667724,17.5,36.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
50-99,91373,42.41742373952059,23.5,70.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
100-249,103747,58.019390596075404,31.666666666666668,150.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
250-499,44134,77.43935800127709,42.64583333333333,332.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
500-999,20539,98.60951166023558,53.30612244897959,654.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
1000+,11222,122.0312451697913,67.0,1544.0,n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user
1-9,6300,0.47636797762292976,0.3333333333333333,6.0,n_tracks,# tracks,retention_rate,Continuity rate
10-24,42244,0.5556616059673783,0.5,17.0,n_tracks,# tracks,retention_rate,Continuity rate
25-49,62099,0.6209875659610548,0.5,36.0,n_tracks,# tracks,retention_rate,Continuity rate
50-99,83562,0.6449392535317235,0.6666666666666666,71.0,n_tracks,# tracks,retention_rate,Continuity rate
100-249,97833,0.6524561294138009,0.6666666666666666,150.0,n_tracks,# tracks,retention_rate,Continuity rate
250-499,42357,0.6554079657589198,0.6666666666666666,333.0,n_tracks,# tracks,retention_rate,Continuity rate
