feature,feature_label,success_metric,success_metric_label,n,slope,intercept,r2,spearman_rho
n_title_tokens,# title tokens,retention_rate,Continuity rate,365214,-0.20547640428729483,0.8264621435325239,0.056670752953029147,-0.25291679595425753
n_albums,# albums,retention_rate,Continuity rate,365214,0.04800282412692803,0.4471653077904871,0.03125867565899543,0.15977033189783024
n_artists,# artists,retention_rate,Continuity rate,365214,0.038025142045369706,0.48819723147788124,0.020776213647693664,0.13418186669944585
n_tracks,# tracks,retention_rate,Continuity rate,365214,0.023365246883524707,0.5240787021912959,0.005808908547103253,0.07533094490899025
recent_track_change,Recent track change,retention_rate,Continuity rate,365214,0.02741688066319889,0.6198130396333023,0.004518824614899386,0.0855531291514263
owner_playlist_count,Owner playlist count,retention_rate,Continuity rate,365214,0.014186756809538759,0.6174169046839164,0.0002451162254738515,0.05425613882372497
n_title_tokens,# title tokens,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,-0.7850167593823237,4.096334155945549,0.07648974732495806,-0.20937733911227074
owner_playlist_count,Owner playlist count,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,-0.47069176706691435,3.815579959736808,0.022795289422441134,-0.11645075642530227
n_tracks,# tracks,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,0.10037816034568929,2.9379613349098737,0.01058787201328748,0.2475850844344669
n_albums,# albums,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,0.08148481417256384,3.0803660299949245,0.008274424429532301,0.23613310368336451
recent_track_change,Recent track change,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,0.09815606936372256,3.3424594002742096,0.004395640791991173,0.07547958495000105
n_artists,# artists,monthly_stream30s_per_mau,Monthly 30s streams per active user,417085,0.056384763020909896,3.176317732860078,0.004137237335107957,0.20653486058820095
n_tracks,# tracks,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.3587681962355126,1.5787094725836068,0.08185980442710072,0.24033459691197875
n_title_tokens,# title tokens,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.7893021903423639,2.4295839570145623,0.046799864383367806,0.16573310733399002
n_albums,# albums,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.24692887510249617,2.249583170267783,0.045987605849945656,0.19087327420460862
n_artists,# artists,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.227588913913316,2.337383234387747,0.04079451107342613,0.1849494046138153
owner_playlist_count,Owner playlist count,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.2906654469059428,2.881591151215441,0.005261036702008615,0.06493986161425154
recent_track_change,Recent track change,non_owner_monthly_stream30s,Non-owner monthly 30s streams,417085,0.10759000296210806,3.11271837771246,0.0031962763832332763,0.05726364046369896
